id,message,date
1,App crashes when I try to login,1/1/2026
2,"Thank you, the issue was resolved quickly",1/2/2026
3,"Payment failed again, very frustrating",1/3/2026
4,Unable to reset my password,1/4/2026
5,Customer support was very helpful,1/5/2026
6,The app is slow after the latest update,1/6/2026
7,"Login works fine now, thanks",1/7/2026
8,Error message appears on checkout,1/8/2026
9,Great experience with the new features,1/9/2026
10,Refund is taking too long,1/10/2026
11,App freezes on startup,1/11/2026
12,Issue fixed after reinstalling,1/12/2026
13,Payment gateway not responding,1/13/2026
14,Very smooth and easy to use,1/14/2026
15,Notifications are not working,1/15/2026
16,Problem resolved within minutes,1/16/2026
17,Still facing login issues,1/17/2026
18,Excellent customer service,1/18/2026
19,App performance has improved,1/19/2026
20,Charged twice for the same order,1/20/2026
21,Crashes occasionally on Android,1/21/2026
22,Happy with the quick resolution,1/22/2026
23,Unable to apply promo code,1/23/2026
24,Everything works as expected,1/24/2026
25,Support team followed up promptly,1/25/2026
26,App closes unexpectedly,1/26/2026
27,Satisfied with the service,1/27/2026
28,Payment went through successfully,1/28/2026
29,Bug still not fixed,1/29/2026
30,Overall good experience,1/30/2026
